Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Continental,2025-11-06,67.3,15.0,17.7,Kurzfristige Tendenz,67.3,20.0,12.7,Mittelfristige Tendenz,74.5,1.37,9.11,49.5,54.5
Mercedes-Benz,2025-11-06,63.8,15.0,21.2,Kurzfristige Tendenz,63.8,20.0,16.2,Mittelfristige Tendenz,67.6,3.19,10.43,42.6,47.6
Deutsche Bank,2025-11-06,63.4,15.0,21.6,Kurzfristige Tendenz,63.4,20.0,16.6,Mittelfristige Tendenz,66.9,1.14,3.25,41.9,46.9
Henkel,2025-11-06,61.7,15.0,23.3,Kurzfristige Tendenz,61.7,20.0,18.3,Mittelfristige Tendenz,63.4,1.81,1.78,38.4,43.4
Volkswagen,2025-11-06,60.2,15.0,24.8,Kurzfristige Tendenz,60.2,20.0,19.8,Mittelfristige Tendenz,60.4,3.79,2.68,35.4,40.4
Porsche,2025-11-06,59.3,15.0,25.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.6,1.53,3.59,33.6,38.6
BMW,2025-11-06,59.1,15.0,25.9,Kurzfristige Tendenz,59.1,20.0,20.9,Mittelfristige Tendenz,58.3,5.5,6.16,33.3,38.3
Beiersdorf,2025-11-06,58.9,15.0,26.1,Kurzfristige Tendenz,58.9,20.0,21.1,Mittelfristige Tendenz,57.8,2.38,-1.1,32.8,37.8
Daimler Truck,2025-11-06,56.5,15.0,28.5,Kurzfristige Tendenz,56.5,20.0,23.5,Mittelfristige Tendenz,53.0,1.5,3.98,28.0,33.0
Deutsche Telekom,2025-11-06,29.6,15.0,55.4,Kurzfristige Tendenz,29.6,20.0,50.4,Mittelfristige Tendenz,19.2,-2.51,-9.72,25.8,20.8
E.ON,2025-11-06,54.4,15.0,30.6,Kurzfristige Tendenz,44.4,20.0,35.6,Mittelfristige Tendenz,48.8,-1.26,-1.17,23.8,8.8
BASF,2025-11-06,54.3,15.0,30.7,Kurzfristige Tendenz,54.3,20.0,25.7,Mittelfristige Tendenz,48.5,0.56,-1.08,23.5,28.5
Heidelberg Materials,2025-11-06,53.7,15.0,31.3,Kurzfristige Tendenz,63.7,20.0,16.3,Mittelfristige Tendenz,67.4,-0.15,3.98,22.4,47.4
RWE,2025-11-06,52.9,15.0,32.1,Kurzfristige Tendenz,62.9,20.0,17.1,Mittelfristige Tendenz,65.9,-0.28,3.98,20.9,45.9
Vonovia,2025-11-06,32.0,15.0,53.0,Kurzfristige Tendenz,32.0,20.0,48.0,Mittelfristige Tendenz,24.1,-4.0,-8.78,20.9,15.9
Hannover Rück,2025-11-06,52.1,15.0,32.9,Kurzfristige Tendenz,42.1,20.0,37.9,Mittelfristige Tendenz,44.1,-0.24,-0.63,19.1,4.1
Allianz,2025-11-06,52.0,15.0,33.0,Kurzfristige Tendenz,42.0,20.0,38.0,Mittelfristige Tendenz,44.0,1.38,1.5,19.0,4.0
Qiagen,2025-11-06,33.7,15.0,51.3,Kurzfristige Tendenz,33.7,20.0,46.3,Mittelfristige Tendenz,27.3,-5.64,-7.54,17.7,12.7
Deutsche Börse,2025-11-06,33.9,15.0,51.1,Kurzfristige Tendenz,33.9,20.0,46.1,Mittelfristige Tendenz,27.8,-2.0,-2.57,17.2,12.2
Siemens Healthineers,2025-11-06,34.6,15.0,50.4,Kurzfristige Tendenz,34.6,20.0,45.4,Mittelfristige Tendenz,29.1,-7.74,-5.59,15.9,10.9
Münchener Rück,2025-11-06,49.4,15.0,35.6,Kurzfristige Tendenz,39.4,20.0,40.6,Mittelfristige Tendenz,38.9,-1.32,-2.25,13.9,1.1
Airbus,2025-11-06,49.4,15.0,35.6,Kurzfristige Tendenz,59.4,20.0,20.6,Mittelfristige Tendenz,58.8,-1.29,4.88,13.8,38.8
Fresenius Medical Care,2025-11-06,35.9,15.0,49.1,Kurzfristige Tendenz,35.9,20.0,44.1,Mittelfristige Tendenz,31.8,-8.75,-8.5,13.2,8.2
Symrise,2025-11-06,49.1,15.0,35.9,Kurzfristige Tendenz,39.1,20.0,40.9,Mittelfristige Tendenz,38.1,-0.6,-7.36,13.1,1.9
Commerzbank,2025-11-06,48.5,15.0,36.5,Kurzfristige Tendenz,58.5,20.0,21.5,Mittelfristige Tendenz,57.0,1.24,7.55,12.0,37.0
MTU Aero Engines,2025-11-06,36.7,15.0,48.3,Kurzfristige Tendenz,36.7,20.0,43.3,Mittelfristige Tendenz,33.4,-3.87,-2.75,11.6,6.6
Brenntag,2025-11-06,48.3,15.0,36.7,Kurzfristige Tendenz,38.3,20.0,41.7,Mittelfristige Tendenz,36.6,-0.19,-3.46,11.6,3.4
Merck,2025-11-06,36.8,15.0,48.2,Kurzfristige Tendenz,36.8,20.0,43.2,Mittelfristige Tendenz,33.5,-1.55,-0.94,11.5,6.5
Bayer,2025-11-06,36.9,15.0,48.1,Kurzfristige Tendenz,36.9,20.0,43.1,Mittelfristige Tendenz,33.7,-1.53,-2.33,11.3,6.3
Zalando,2025-11-06,47.5,15.0,37.5,Kurzfristige Tendenz,37.5,20.0,42.5,Mittelfristige Tendenz,35.0,-1.71,-9.12,10.0,5.0
Infineon,2025-11-06,46.6,15.0,38.4,Kurzfristige Tendenz,56.6,20.0,23.4,Mittelfristige Tendenz,53.2,-0.54,2.95,8.2,33.2
Rheinmetall,2025-11-06,38.7,15.0,46.3,Kurzfristige Tendenz,38.7,20.0,41.3,Mittelfristige Tendenz,37.4,0.21,-3.72,7.6,2.6
Siemens,2025-11-06,45.3,15.0,39.7,Kurzfristige Tendenz,55.3,20.0,24.7,Mittelfristige Tendenz,50.6,-1.09,0.02,5.6,30.6
Siemens Energy,2025-11-06,45.3,15.0,39.7,Kurzfristige Tendenz,55.3,20.0,24.7,Mittelfristige Tendenz,50.6,-0.71,0.05,5.6,30.6
Fresenius,2025-11-06,44.0,15.0,41.0,Kurzfristige Tendenz,44.0,20.0,36.0,Mittelfristige Tendenz,47.9,-4.03,2.37,2.9,7.9
SAP,2025-11-06,41.1,15.0,43.9,Kurzfristige Tendenz,41.1,20.0,38.9,Mittelfristige Tendenz,42.3,0.11,-3.04,2.7,2.3
Adidas,2025-11-06,43.6,15.0,41.4,Kurzfristige Tendenz,33.6,20.0,46.4,Mittelfristige Tendenz,27.2,-1.16,-15.41,2.2,12.8
Deutsche Post,2025-11-06,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
GEA,2025-11-06,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
Scout24,2025-11-06,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
