Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Continental,2025-11-10,71.1,15.0,13.9,Kurzfristige Tendenz,71.1,20.0,8.9,Mittelfristige Tendenz,82.3,1.57,7.75,57.3,62.3
Mercedes-Benz,2025-11-10,66.6,15.0,18.4,Kurzfristige Tendenz,66.6,20.0,13.4,Mittelfristige Tendenz,73.2,4.46,8.45,48.2,53.2
BMW,2025-11-10,65.9,15.0,19.1,Kurzfristige Tendenz,65.9,20.0,14.1,Mittelfristige Tendenz,71.8,8.17,6.66,46.8,51.8
Volkswagen,2025-11-10,65.8,15.0,19.2,Kurzfristige Tendenz,65.8,20.0,14.2,Mittelfristige Tendenz,71.5,5.26,5.13,46.5,51.5
Henkel,2025-11-10,65.5,15.0,19.5,Kurzfristige Tendenz,65.5,20.0,14.5,Mittelfristige Tendenz,71.0,3.8,1.78,46.0,51.0
Commerzbank,2025-11-10,64.8,15.0,20.2,Kurzfristige Tendenz,64.8,20.0,15.2,Mittelfristige Tendenz,69.7,1.41,10.73,44.7,49.7
Deutsche Bank,2025-11-10,64.5,15.0,20.5,Kurzfristige Tendenz,64.5,20.0,15.5,Mittelfristige Tendenz,69.0,0.81,10.75,44.0,49.0
Porsche,2025-11-10,63.1,15.0,21.9,Kurzfristige Tendenz,63.1,20.0,16.9,Mittelfristige Tendenz,66.2,3.06,2.76,41.2,46.2
RWE,2025-11-10,63.1,15.0,21.9,Kurzfristige Tendenz,63.1,20.0,16.9,Mittelfristige Tendenz,66.2,1.06,5.33,41.2,46.2
Beiersdorf,2025-11-10,59.8,15.0,25.2,Kurzfristige Tendenz,59.8,20.0,20.2,Mittelfristige Tendenz,59.6,1.23,-1.76,34.6,39.6
Daimler Truck,2025-11-10,59.3,15.0,25.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.7,3.58,1.17,33.7,38.7
BASF,2025-11-10,56.7,15.0,28.3,Kurzfristige Tendenz,56.7,20.0,23.3,Mittelfristige Tendenz,53.4,3.13,-0.05,28.4,33.4
Hannover Rück,2025-11-10,56.0,15.0,29.0,Kurzfristige Tendenz,56.0,20.0,24.0,Mittelfristige Tendenz,52.0,2.66,,27.0,32.0
Adidas,2025-11-10,29.7,15.0,55.3,Kurzfristige Tendenz,29.7,20.0,50.3,Mittelfristige Tendenz,19.4,0.16,-18.87,25.6,20.6
Siemens,2025-11-10,55.3,15.0,29.7,Kurzfristige Tendenz,55.3,20.0,24.7,Mittelfristige Tendenz,50.6,-0.18,0.76,25.6,30.6
Rheinmetall,2025-11-10,55.3,15.0,29.7,Kurzfristige Tendenz,55.3,20.0,24.7,Mittelfristige Tendenz,50.5,2.57,-0.39,25.5,30.5
Deutsche Börse,2025-11-10,30.4,15.0,54.6,Kurzfristige Tendenz,30.4,20.0,49.6,Mittelfristige Tendenz,20.8,-4.43,-6.94,24.2,19.2
Vonovia,2025-11-10,30.7,15.0,54.3,Kurzfristige Tendenz,30.7,20.0,49.3,Mittelfristige Tendenz,21.3,-1.72,-9.7,23.7,18.7
Siemens Healthineers,2025-11-10,31.9,15.0,53.1,Kurzfristige Tendenz,31.9,20.0,48.1,Mittelfristige Tendenz,23.7,-11.61,-10.43,21.3,16.3
Fresenius Medical Care,2025-11-10,32.2,15.0,52.8,Kurzfristige Tendenz,32.2,20.0,47.8,Mittelfristige Tendenz,24.4,0.68,-11.39,20.6,15.6
Qiagen,2025-11-10,32.3,15.0,52.7,Kurzfristige Tendenz,32.3,20.0,47.7,Mittelfristige Tendenz,24.5,-5.39,-10.85,20.5,15.5
