Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Continental,2025-11-03,68.7,15.0,16.3,Kurzfristige Tendenz,68.7,20.0,11.3,Mittelfristige Tendenz,77.3,1.68,22.41,52.3,57.3
RWE,2025-11-03,66.2,15.0,18.8,Kurzfristige Tendenz,66.2,20.0,13.8,Mittelfristige Tendenz,72.3,3.89,5.19,47.3,52.3
Airbus,2025-11-03,65.9,15.0,19.1,Kurzfristige Tendenz,65.9,20.0,14.1,Mittelfristige Tendenz,71.7,2.94,5.11,46.7,51.7
Heidelberg Materials,2025-11-03,65.3,15.0,19.7,Kurzfristige Tendenz,65.3,20.0,14.7,Mittelfristige Tendenz,70.6,0.59,2.73,45.6,50.6
Mercedes-Benz,2025-11-03,64.8,15.0,20.2,Kurzfristige Tendenz,64.8,20.0,15.2,Mittelfristige Tendenz,69.5,5.54,10.31,44.5,49.5
Deutsche Bank,2025-11-03,62.8,15.0,22.2,Kurzfristige Tendenz,62.8,20.0,17.2,Mittelfristige Tendenz,65.6,6.2,3.3,40.6,45.6
Siemens Energy,2025-11-03,62.4,15.0,22.6,Kurzfristige Tendenz,62.4,20.0,17.6,Mittelfristige Tendenz,64.8,7.89,5.65,39.8,44.8
Commerzbank,2025-11-03,61.3,15.0,23.7,Kurzfristige Tendenz,61.3,20.0,18.7,Mittelfristige Tendenz,62.6,5.12,2.6,37.6,42.6
Siemens,2025-11-03,57.9,15.0,27.1,Kurzfristige Tendenz,57.9,20.0,22.1,Mittelfristige Tendenz,55.8,-0.02,3.29,30.8,35.8
Infineon,2025-11-03,57.9,15.0,27.1,Kurzfristige Tendenz,57.9,20.0,22.1,Mittelfristige Tendenz,55.7,0.51,7.22,30.7,35.7
Volkswagen,2025-11-03,57.1,15.0,27.9,Kurzfristige Tendenz,57.1,20.0,22.9,Mittelfristige Tendenz,54.2,0.68,2.2,29.2,34.2
Zalando,2025-11-03,28.5,15.0,56.5,Kurzfristige Tendenz,28.5,20.0,51.5,Mittelfristige Tendenz,17.1,-6.66,-10.4,27.9,22.9
Deutsche Telekom,2025-11-03,30.4,15.0,54.6,Kurzfristige Tendenz,30.4,20.0,49.6,Mittelfristige Tendenz,20.9,-6.72,-8.12,24.1,19.1
Adidas,2025-11-03,30.5,15.0,54.5,Kurzfristige Tendenz,30.5,20.0,49.5,Mittelfristige Tendenz,21.0,-11.98,-13.21,24.0,19.0
BMW,2025-11-03,54.0,15.0,31.0,Kurzfristige Tendenz,54.0,20.0,26.0,Mittelfristige Tendenz,48.1,0.79,4.17,23.1,28.1
MTU Aero Engines,2025-11-03,53.2,15.0,31.8,Kurzfristige Tendenz,43.2,20.0,36.8,Mittelfristige Tendenz,46.4,0.16,-1.4,21.4,6.4
Vonovia,2025-11-03,31.8,15.0,53.2,Kurzfristige Tendenz,31.8,20.0,48.2,Mittelfristige Tendenz,23.6,-5.08,-6.56,21.4,16.4
Fresenius,2025-11-03,52.8,15.0,32.2,Kurzfristige Tendenz,62.8,20.0,17.2,Mittelfristige Tendenz,65.5,0.26,2.66,20.5,45.5
Symrise,2025-11-03,34.1,15.0,50.9,Kurzfristige Tendenz,34.1,20.0,45.9,Mittelfristige Tendenz,28.2,-6.94,-5.41,16.8,11.8
Merck,2025-11-03,50.7,15.0,34.3,Kurzfristige Tendenz,40.7,20.0,39.3,Mittelfristige Tendenz,41.4,0.44,-1.17,16.4,1.4
Brenntag,2025-11-03,35.0,15.0,50.0,Kurzfristige Tendenz,35.0,20.0,45.0,Mittelfristige Tendenz,30.0,-1.68,1.31,15.0,10.0
Hannover Rück,2025-11-03,35.5,15.0,49.5,Kurzfristige Tendenz,35.5,20.0,44.5,Mittelfristige Tendenz,31.0,-2.14,-5.66,14.0,9.0
Münchener Rück,2025-11-03,36.6,15.0,48.4,Kurzfristige Tendenz,36.6,20.0,43.4,Mittelfristige Tendenz,33.1,-2.19,-5.76,11.9,6.9
Deutsche Börse,2025-11-03,36.7,15.0,48.3,Kurzfristige Tendenz,36.7,20.0,43.3,Mittelfristige Tendenz,33.4,-1.93,-4.49,11.6,6.6
Porsche,2025-11-03,48.2,15.0,36.8,Kurzfristige Tendenz,58.2,20.0,21.8,Mittelfristige Tendenz,56.4,-0.6,4.18,11.4,36.4
Rheinmetall,2025-11-03,36.9,15.0,48.1,Kurzfristige Tendenz,36.9,20.0,43.1,Mittelfristige Tendenz,33.7,-1.81,-6.8,11.3,6.3
Bayer,2025-11-03,37.1,15.0,47.9,Kurzfristige Tendenz,37.1,20.0,42.9,Mittelfristige Tendenz,34.2,-2.06,-1.65,10.8,5.8
Siemens Healthineers,2025-11-03,47.0,15.0,38.0,Kurzfristige Tendenz,57.0,20.0,23.0,Mittelfristige Tendenz,54.0,-0.37,4.87,9.0,34.0
SAP,2025-11-03,39.7,15.0,45.3,Kurzfristige Tendenz,39.7,20.0,40.3,Mittelfristige Tendenz,39.5,-4.04,-3.46,5.5,0.5
Fresenius Medical Care,2025-11-03,45.3,15.0,39.7,Kurzfristige Tendenz,45.3,20.0,34.7,Mittelfristige Tendenz,50.5,-0.04,-1.13,5.5,10.5
E.ON,2025-11-03,44.6,15.0,40.4,Kurzfristige Tendenz,44.6,20.0,35.4,Mittelfristige Tendenz,49.1,-0.52,-0.77,4.1,9.1
BASF,2025-11-03,41.2,15.0,43.8,Kurzfristige Tendenz,41.2,20.0,38.8,Mittelfristige Tendenz,42.5,-0.67,2.72,2.5,2.5
Qiagen,2025-11-03,41.4,15.0,43.6,Kurzfristige Tendenz,41.4,20.0,38.6,Mittelfristige Tendenz,42.8,-1.99,-0.71,2.2,2.8
Henkel,2025-11-03,41.5,15.0,43.5,Kurzfristige Tendenz,41.5,20.0,38.5,Mittelfristige Tendenz,42.9,-1.18,0.8,2.1,2.9
Beiersdorf,2025-11-03,41.6,15.0,43.4,Kurzfristige Tendenz,41.6,20.0,38.4,Mittelfristige Tendenz,43.2,-1.17,0.82,1.8,3.2
Daimler Truck,2025-11-03,41.7,15.0,43.3,Kurzfristige Tendenz,41.7,20.0,38.3,Mittelfristige Tendenz,43.3,-0.6,2.24,1.7,3.3
Allianz,2025-11-03,42.6,15.0,42.4,Kurzfristige Tendenz,42.6,20.0,37.4,Mittelfristige Tendenz,45.1,-0.95,-4.25,0.1,5.1
Deutsche Post,2025-11-03,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
GEA,2025-11-03,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
Scout24,2025-11-03,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
