Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Continental,2025-11-07,68.7,15.0,16.3,Kurzfristige Tendenz,68.7,20.0,11.3,Mittelfristige Tendenz,77.3,0.36,7.55,52.3,57.3
RWE,2025-11-07,65.8,15.0,19.2,Kurzfristige Tendenz,65.8,20.0,14.2,Mittelfristige Tendenz,71.7,0.98,5.61,46.7,51.7
Mercedes-Benz,2025-11-07,64.6,15.0,20.4,Kurzfristige Tendenz,64.6,20.0,15.4,Mittelfristige Tendenz,69.3,2.29,8.9,44.3,49.3
Deutsche Bank,2025-11-07,62.7,15.0,22.3,Kurzfristige Tendenz,62.7,20.0,17.3,Mittelfristige Tendenz,65.5,0.19,8.44,40.5,45.5
Commerzbank,2025-11-07,62.0,15.0,23.0,Kurzfristige Tendenz,62.0,20.0,18.0,Mittelfristige Tendenz,64.0,1.03,7.0,39.0,44.0
Volkswagen,2025-11-07,61.2,15.0,23.8,Kurzfristige Tendenz,61.2,20.0,18.8,Mittelfristige Tendenz,62.5,2.41,3.17,37.5,42.5
Henkel,2025-11-07,61.0,15.0,24.0,Kurzfristige Tendenz,61.0,20.0,19.0,Mittelfristige Tendenz,62.0,2.63,0.17,37.0,42.0
BMW,2025-11-07,59.9,15.0,25.1,Kurzfristige Tendenz,59.9,20.0,20.1,Mittelfristige Tendenz,59.7,4.81,5.3,34.7,39.7
Porsche,2025-11-07,59.1,15.0,25.9,Kurzfristige Tendenz,59.1,20.0,20.9,Mittelfristige Tendenz,58.2,0.71,2.29,33.2,38.2
Deutsche Telekom,2025-11-07,26.7,15.0,58.3,Kurzfristige Tendenz,26.7,20.0,53.3,Mittelfristige Tendenz,13.4,-1.13,-12.2,31.6,26.6
Daimler Truck,2025-11-07,58.2,15.0,26.8,Kurzfristige Tendenz,58.2,20.0,21.8,Mittelfristige Tendenz,56.4,1.93,1.64,31.4,36.4
Beiersdorf,2025-11-07,55.6,15.0,29.4,Kurzfristige Tendenz,45.6,20.0,34.4,Mittelfristige Tendenz,51.1,1.6,-3.31,26.1,11.1
BASF,2025-11-07,54.6,15.0,30.4,Kurzfristige Tendenz,54.6,20.0,25.4,Mittelfristige Tendenz,49.1,0.23,-0.16,24.1,29.1
E.ON,2025-11-07,53.5,15.0,31.5,Kurzfristige Tendenz,43.5,20.0,36.5,Mittelfristige Tendenz,47.1,1.2,-1.92,22.1,7.1
Deutsche Börse,2025-11-07,32.6,15.0,52.4,Kurzfristige Tendenz,32.6,20.0,47.4,Mittelfristige Tendenz,25.2,-3.6,-5.54,19.8,14.8
Vonovia,2025-11-07,32.8,15.0,52.2,Kurzfristige Tendenz,32.8,20.0,47.2,Mittelfristige Tendenz,25.5,-0.12,-7.84,19.5,14.5
Qiagen,2025-11-07,33.4,15.0,51.6,Kurzfristige Tendenz,33.4,20.0,46.6,Mittelfristige Tendenz,26.9,-4.75,-10.2,18.1,13.1
Siemens Healthineers,2025-11-07,33.9,15.0,51.1,Kurzfristige Tendenz,33.9,20.0,46.1,Mittelfristige Tendenz,27.8,-8.75,-7.9,17.2,12.2
