Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Continental,2025-11-05,67.5,15.0,17.5,Kurzfristige Tendenz,67.5,20.0,12.5,Mittelfristige Tendenz,75.0,1.62,21.82,50.0,55.0
Heidelberg Materials,2025-11-05,65.9,15.0,19.1,Kurzfristige Tendenz,65.9,20.0,14.1,Mittelfristige Tendenz,71.8,0.69,4.85,46.8,51.8
Deutsche Bank,2025-11-05,62.4,15.0,22.6,Kurzfristige Tendenz,62.4,20.0,17.6,Mittelfristige Tendenz,64.9,0.72,2.82,39.9,44.9
Commerzbank,2025-11-05,62.3,15.0,22.7,Kurzfristige Tendenz,62.3,20.0,17.7,Mittelfristige Tendenz,64.6,3.58,5.27,39.6,44.6
Zalando,2025-11-05,25.6,15.0,59.4,Kurzfristige Tendenz,25.6,20.0,54.4,Mittelfristige Tendenz,11.2,-8.36,-15.28,33.8,28.8
Adidas,2025-11-05,28.5,15.0,56.5,Kurzfristige Tendenz,28.5,20.0,51.5,Mittelfristige Tendenz,17.1,-7.64,-19.72,27.9,22.9
Beiersdorf,2025-11-05,56.3,15.0,28.7,Kurzfristige Tendenz,46.3,20.0,33.7,Mittelfristige Tendenz,52.7,1.04,-0.49,27.7,12.7
Deutsche Telekom,2025-11-05,30.5,15.0,54.5,Kurzfristige Tendenz,30.5,20.0,49.5,Mittelfristige Tendenz,21.1,-2.26,-9.48,23.9,18.9
Henkel,2025-11-05,54.2,15.0,30.8,Kurzfristige Tendenz,44.2,20.0,35.8,Mittelfristige Tendenz,48.4,-0.45,-0.48,23.4,8.4
Vonovia,2025-11-05,31.9,15.0,53.1,Kurzfristige Tendenz,31.9,20.0,48.1,Mittelfristige Tendenz,23.7,-4.15,-8.92,21.3,16.3
Brenntag,2025-11-05,32.6,15.0,52.4,Kurzfristige Tendenz,32.6,20.0,47.4,Mittelfristige Tendenz,25.2,-3.28,-3.66,19.8,14.8
RWE,2025-11-05,51.6,15.0,33.4,Kurzfristige Tendenz,61.6,20.0,18.4,Mittelfristige Tendenz,63.1,-1.79,1.63,18.1,43.1
Fresenius Medical Care,2025-11-05,33.5,15.0,51.5,Kurzfristige Tendenz,33.5,20.0,46.5,Mittelfristige Tendenz,27.0,-10.08,-9.83,18.0,13.0
Qiagen,2025-11-05,34.2,15.0,50.8,Kurzfristige Tendenz,34.2,20.0,45.8,Mittelfristige Tendenz,28.4,-5.06,-6.97,16.6,11.6
Mercedes-Benz,2025-11-05,49.9,15.0,35.1,Kurzfristige Tendenz,59.9,20.0,20.1,Mittelfristige Tendenz,59.9,-0.05,6.96,14.9,39.9
Airbus,2025-11-05,49.9,15.0,35.1,Kurzfristige Tendenz,59.9,20.0,20.1,Mittelfristige Tendenz,59.8,-0.85,2.65,14.8,39.8
Deutsche Börse,2025-11-05,35.3,15.0,49.7,Kurzfristige Tendenz,35.3,20.0,44.7,Mittelfristige Tendenz,30.7,-1.23,-1.8,14.3,9.3
Siemens Healthineers,2025-11-05,36.0,15.0,49.0,Kurzfristige Tendenz,36.0,20.0,44.0,Mittelfristige Tendenz,32.0,-6.18,-3.99,13.0,8.0
Symrise,2025-11-05,36.0,15.0,49.0,Kurzfristige Tendenz,36.0,20.0,44.0,Mittelfristige Tendenz,32.1,-2.12,-8.78,12.9,7.9
Fresenius,2025-11-05,48.3,15.0,36.7,Kurzfristige Tendenz,58.3,20.0,21.7,Mittelfristige Tendenz,56.6,-2.03,4.51,11.6,36.6
Merck,2025-11-05,36.9,15.0,48.1,Kurzfristige Tendenz,36.9,20.0,43.1,Mittelfristige Tendenz,33.8,-1.47,-0.85,11.2,6.2
Hannover Rück,2025-11-05,37.3,15.0,47.7,Kurzfristige Tendenz,37.3,20.0,42.7,Mittelfristige Tendenz,34.6,-1.67,-2.05,10.4,5.4
MTU Aero Engines,2025-11-05,37.4,15.0,47.6,Kurzfristige Tendenz,37.4,20.0,42.6,Mittelfristige Tendenz,34.8,-3.32,-2.19,10.2,5.2
Bayer,2025-11-05,37.4,15.0,47.6,Kurzfristige Tendenz,37.4,20.0,42.6,Mittelfristige Tendenz,34.8,-1.17,-1.97,10.2,5.2
